,Country Name,Year,Education Expenditure,Fertility rates,Health Expenditure,Labor Force Participation,Num of Elderly Beds,Population Growth,Tax Revenue,Teacher-Pupil Ratio,Working Age Population
22,Belgium,0.625,0.3754766476341503,0.25,0.5653741795879046,0.17318772611550318,0.08348035135048915,0.5748706210271644,0.5435978115667061,0.07179171372758214,0.45184773667269557
23,Belgium,0.75,0.37154921822003734,0.23936170212765956,0.5988188737134988,0.16648800750368478,0.0854209289853319,0.5600535118428035,0.4915417633200791,0.0794903922065454,0.4397788479142218
24,Belgium,0.875,0.39869553572709876,0.2234042553191489,0.625330418118707,0.19094198043682173,0.08647789372689019,0.5355281663691988,0.5124002016046885,0.09962164317219661,0.4265369304314014
25,Belgium,1.0,0.389240175758466,0.20744680851063838,0.6589463671883611,0.20266648800750356,0.08746503619622707,0.5496991712121554,0.5316881290298643,0.09951480969644594,0.4125384480281405
26,Bulgaria,0.0,0.19737011688545203,0.18085106382978727,0.02969215785871444,0.17586761356023045,0.0014963635236411592,0.32414744775449067,0.3204243121944606,0.3931207688762359,0.6805839606638505
27,Bulgaria,0.125,0.20667535220663263,0.14893617021276598,0.03754842497114291,0.14638885166822982,0.0014819175362850098,0.3276005334764095,0.32081273684287376,0.3369494211211364,0.6446711775429959
28,Bulgaria,0.25,0.17525940861772088,0.14361702127659576,0.05279962455948059,0.165483049711912,0.001409687599504262,0.34016145419994,0.33811485784444817,0.3291631389737851,0.604479060416721
29,Bulgaria,0.375,0.18482625807948555,0.13297872340425532,0.04715711132381239,0.19295189602036705,0.0006265947015729875,0.3441264002279228,0.3828984660144291,0.3429566732468187,0.5626884478353342
30,Bulgaria,0.5,0.15279896194425543,0.15957446808510642,0.06941281919530687,0.20099155835454907,0.0006464579341876932,0.34235553866492496,0.3787792571089871,0.34411706443173956,0.5256172020284107
31,Bulgaria,0.625,0.17812216884935939,0.15957446808510642,0.07014997250779974,0.19864665684041266,0.00018659400335026524,0.3282405384864258,0.3963761413058252,0.3497434965244416,0.4956013504350794
32,Bulgaria,0.75,0.18524213610375573,0.16489361702127664,0.08873721722523109,0.17385769797668488,6.560885924251262e-05,0.3154154069217816,0.4051620147389964,0.3493126593477932,0.4688724164642421
33,Bulgaria,0.875,0.22194251690018793,0.17553191489361708,0.10386548755092534,0.24152485595604983,5.597820100507957e-05,0.3095285540784349,0.4117092492164591,0.3578263127784046,0.443156112350122
34,Bulgaria,1.0,0.16376218993074132,0.17553191489361708,0.11450537261884806,0.24051989816427705,0.0,0.31122258614588905,0.3906922649900709,0.36553669066343625,0.4160337646814295
35,Canada,0.0,0.46081672299805676,0.2180851063829787,0.470462574762113,0.6287685917191476,0.1548206560765541,0.6827215941361283,0.10910927920567338,0.03462336637902608,0.7992744529771956
36,Canada,0.125,0.469714727616953,0.20744680851063838,0.4761869066623986,0.6220688731073292,0.15692676064985275,0.6557463261117972,0.11155722758287134,0.03985617675654768,0.7846916813043933
37,Canada,0.25,0.4836782379632428,0.20744680851063838,0.4912990128606826,0.6150341685649202,0.15643499516360382,0.6774453358170606,0.10675530932531503,0.02521685836831069,0.7612272544976597
38,Canada,0.375,0.49760458556313336,0.19680851063829793,0.5139503500727923,0.6136942248425563,0.16011992577170164,0.6715250739923848,0.10534659023280127,0.015829732955708803,0.7336185269529435
39,Canada,0.5,0.49632309970850214,0.20212765957446815,0.5250689454453352,0.5979498861047833,0.1638909303877965,0.6611427033789358,0.11171068223672671,0.0,0.705213469978159
40,Canada,0.625,0.47274821781522464,0.19680851063829793,0.538331451816492,0.5929250971459199,0.16774981476030795,0.6086778994319505,0.1317258063367688,0.017199360160355198,0.6758675444731296
41,Canada,0.75,0.46487192443159786,0.19148936170212771,0.583448603884298,0.5885702800482376,0.20158171523227042,0.6868711205978544,0.1354006119002911,0.016850484307936973,0.6473436945963142
42,Canada,0.875,0.4916406322447772,0.16489361702127664,0.5997820387647452,0.5902452097011927,0.20117181034103968,0.7004780495102634,0.1393749851963015,0.03782347043389288,0.6221550975225209
43,Canada,1.0,0.4910350747063517,0.14361702127659576,0.6242485309251132,0.5785207021305103,0.2019952316203402,0.7436119615920757,0.15471659476601898,0.0454210778311392,0.5999319890447469
44,Switzerland,0.0,0.7072347775603121,0.1542553191489362,0.6316750615743191,0.6314484791638748,0.05399007199518949,0.6684798240847007,0.027566011773528822,0.14068093795579048,0.6979930854118362
45,Switzerland,0.125,0.7233909150228406,0.1542553191489362,0.6806437250403585,0.6468578319710572,0.0546323165163983,0.6827246059215509,0.026118287322499212,0.12898129178752005,0.6876684877136733
46,Switzerland,0.25,0.7268403756506747,0.1542553191489362,0.7260940008559265,0.6488677475546027,0.055059676975684396,0.6725841152228498,0.02085565652743682,0.11072664956523447,0.6758466761581464
47,Switzerland,0.375,0.696470979871914,0.1542553191489362,0.7772292425488022,0.6495377194157844,0.05568687359339722,0.6904223662568696,0.02385532898147648,0.09247046852181486,0.6637452109496141
48,Switzerland,0.5,0.7147915965253951,0.16489361702127664,0.817459020690636,0.6619321988476485,0.05633032194688572,0.7046475658165603,0.01804201563768196,0.07676039255130682,0.6511639340285583
49,Switzerland,0.625,0.7274291902761021,0.16489361702127664,0.8801254414539791,0.6699718611818303,0.056868434975902285,0.6880842002298249,0.03418127735521612,0.10286473599619017,0.639246215586914
50,Switzerland,0.75,0.724810474447241,0.16489361702127664,0.938871557407617,0.6840412702666487,0.0572079156787718,0.6787040771788708,0.02896345161507291,0.13639714367295194,0.6264241006864609
51,Switzerland,0.875,0.7249603234221194,0.1542553191489362,0.9695688231677162,0.6800214390995576,0.058480968314532485,0.6465209814443333,0.051581030016228435,0.18105402764986556,0.6101034762121555
52,Switzerland,1.0,0.7349451666806892,0.1542553191489362,1.0,0.6813613828219215,0.05870969644767152,0.6067118722289099,0.03882315939353046,0.16344021166408304,0.5913929260067773
