Entity,Year,Female labor force participation rate,Fertility rate,Population,Child mortality rate,Females' length of education,Contraceptive prevalence,Level of Fertility
Haiti,2040,50.055,4.841658064516129,7241214.048387097,15.61372376935484,7.98,16.4,High
Honduras,2030,45.064677419354844,5.115066129032258,5544825.612903226,7.851622600000001,8.92,44.400000000000006,High
Honduras,2035,45.064677419354844,5.115066129032258,5544825.612903226,7.851622600000001,9.46,44.400000000000006,High
Honduras,2040,45.064677419354844,5.115066129032258,5544825.612903226,7.851622600000001,10,44.400000000000006,High
Hong Kong,2030,49.47467741935483,2.0292677419354836,5694174.564516129,1.2967553295161292,13.58,53.9,Low
Hong Kong,2035,49.47467741935483,2.0292677419354836,5694174.564516129,1.2967553295161292,13.88,53.9,Low
Hong Kong,2040,49.47467741935483,2.0292677419354836,5694174.564516129,1.2967553295161292,14.23,53.9,Low
Hungary,2030,50.40870967741936,1.6877354838709677,10228106.951612903,2.0671193532258063,12.17,47.266666666666666,Low
Hungary,2035,50.40870967741936,1.6877354838709677,10228106.951612903,2.0671193532258063,12.25,47.266666666666666,Low
Hungary,2040,50.40870967741936,1.6877354838709677,10228106.951612903,2.0671193532258063,12.34,47.266666666666666,Low
India,2030,45.14564516129032,4.038806451612904,899719860.6451613,13.154637356451612,8.74,41.85,High
India,2035,45.14564516129032,4.038806451612904,899719860.6451613,13.154637356451612,9.5,41.85,High
India,2040,45.14564516129032,4.038806451612904,899719860.6451613,13.154637356451612,10.18,41.85,High
Indonesia,2030,49.04354838709677,3.638951612903226,182159910.32258064,9.624227806451612,10.38,50.92413793103448,High
Indonesia,2035,49.04354838709677,3.638951612903226,182159910.32258064,9.624227806451612,10.99,50.92413793103448,High
Indonesia,2040,49.04354838709677,3.638951612903226,182159910.32258064,9.624227806451612,11.6,50.92413793103448,High
Iran,2030,36.593548387096774,4.333159677419355,53567232.838709675,9.305536653225808,11.03,49,High
Iran,2035,36.593548387096774,4.333159677419355,53567232.838709675,9.305536653225808,11.63,49,High
Iran,2040,36.593548387096774,4.333159677419355,53567232.838709675,9.305536653225808,12.22,49,High
Iraq,2030,43.52903225806452,5.595214516129032,20777749.903225806,7.141754645,9.24,25.2,High
Iraq,2035,43.52903225806452,5.595214516129032,20777749.903225806,7.141754645,9.96,25.2,High
Iraq,2040,43.52903225806452,5.595214516129032,20777749.903225806,7.141754645,10.66,25.2,High
Ireland,2030,45.611935483870965,2.607974193548387,3682084.4677419355,1.2562964482258063,14.13,66.56666666666668,High
Ireland,2035,45.611935483870965,2.607974193548387,3682084.4677419355,1.2562964482258063,14.19,66.56666666666668,High
Ireland,2040,45.611935483870965,2.607974193548387,3682084.4677419355,1.2562964482258063,14.25,66.56666666666668,High
Israel,2030,49.266935483870974,3.315359677419355,5095409.016129033,1.571459670967742,12.09,51.9,High
Israel,2035,49.266935483870974,3.315359677419355,5095409.016129033,1.571459670967742,12.08,51.9,High
Israel,2040,49.266935483870974,3.315359677419355,5095409.016129033,1.571459670967742,12.07,51.9,High
Italy,2030,38.880967741935486,1.6621032258064516,56373221.09677419,1.5593753380645163,12.3,46.15,Low
Italy,2035,38.880967741935486,1.6621032258064516,56373221.09677419,1.5593753380645163,12.57,46.15,Low
Italy,2040,38.880967741935486,1.6621032258064516,56373221.09677419,1.5593753380645163,12.86,46.15,Low
Jamaica,2030,52.677258064516124,3.2874758064516127,2339032.3387096776,3.5615748532258062,10.55,55.6875,High
